group,type,filterable,filter_desc,section,date
88,邵氏路客工宿舍,1,位于邵氏路的客工宿舍Shaw Lodge，4月9日被列为感染群。,客工感染群,2020-4-9
87.001,接触者,,,,
87,Little Gems托儿所,1,位于宏茂桥62街的Little Gems托儿所。,学校感染群,2020-4-6
86,克兰芝客工宿舍,1,克兰芝路12号的客工宿舍。4月6日被列为感染群。,客工感染群,2020-4-6
85,淡滨尼客工宿舍,1,淡滨尼坊的淡滨尼客工宿舍。4月5日被列为感染群，9日被列为隔离区。,客工感染群,2020-4-5
84,高琳一号客工宿舍,1,位于海军部西路的高琳一号客工宿舍。4月5日被列为感染群。,客工感染群,2020-4-5
83.001,接触者,,,,
83,百得里路工地,1,位于百得里路（Battery Road）6号的建筑工地。4月5日被列为感染群。,客工感染群,2020-4-5
82.006,接触者,,,,
82,双溪登加客工宿舍,1,4月4日被列为感染群，4月8日被列为隔离区。,客工感染群,2020-4-4
81.0076,接触者,,,,
81,回利阁客工宿舍,1,位于卓源东路的Toh Guan Dormitory，临近之前已成为感染群的Westlite宿舍，4月4日被列为感染群。4月6日被列为隔离区。,客工感染群,2020-4-4
80,高琳二号客工宿舍,1,位于海军部西路，截至4月4日共有四起病例，构成感染群。,客工感染群,2020-4-4
79,Orange Ballroom,1,位于芽笼路丹绒加东购物中心The Orange Ballroom婚宴场地，四病例是千人宴流水席宾客。4月4日被列为感染群。,,
78,Ce La Vi餐厅,1,位于滨海湾金沙空中花园的餐厅，4月3日出现一起确诊病例，并与之前三起病例有关联，构成感染群。,,
77.003,家人,,,,
77.002,接触者,,,,
77.001,接触者,,,,
77,板球俱乐部,1,4月3日，新加坡板球俱乐部被列为感染群。,,
76.005,接触者,,,,
76.00355,接触者,,,,
76.0035,接触者,,,,
76,Project Glory工地,1,Project Glory建筑工地位于马吉街（Market Street），4月3日出现一起确诊病例，并与之前三起病例有关联，构成感染群。,客工感染群,2020-4-3
75.003,家人,,,,
75,大士吉宝船厂,1,三起病例于4月2日发现与大士吉宝船厂有关联，构成感染群。,,
74,麦士威地铁站工地,1,4月2日，位于麦士威地铁站的工地出现两起新确诊病例，并与之前三起病例有关联，构成感染群。,客工感染群,2020-4-2
73.034,家人,,,,
73.0225,家人及接触者,,,,
73.015,接触者,,,,
73.002,接触者,,,,
73.025,接触者,,,,
73,慕斯达法购物中心,1,4月2日，慕斯达法购物中心出现五起新确诊病例，并与之前六起病例有关联，构成感染群。,,
72.27,家人,,,,
72.18,家人,,,,
72.07,家人,,,,
71,李亚妹安老院,1,4月1日，李亚妹安老院有10人确诊，被列为感染群。,,
70,双溪加株客工宿舍,1,位于双溪加株环道的宿舍，4月1日被列为感染群。,客工感染群,2020-4-1
69,Westlite客工宿舍,1,位于卓源路的客工宿舍，3月31日有四名确诊病例，被列为感染群。4月5日因为确诊病例激增而被列为隔离区。,客工感染群,2020-3-31
68,Hero’s酒吧,1,位于沙球劳路（Circular Road）的Hero’s音乐和体育酒吧，3月30日被列为感染群。,,
67.002,接触者,,,,
67,Wilby悠邸,1,位于威美路的悠邸（Wilby Residences）商务住宅，3月30日被列为感染群。,,
66.027,接触者,,,,
66.001,接触者,,,,
66,S11榜鹅客工宿舍,1,位于实里达北连路的S11榜鹅客工宿舍，3月30日被列为感染群，4月5日因为确诊病例激增而被列为隔离区。,客工感染群,2020-3-30
65,婚纱店,1,3月29日，三名病例与位于义顺的婚纱店The Wedding Brocade有关联。婚纱店因此被列为感染群。,,
64.96,家人,,,,
64.95,家人,,,,
64.94,家人,,,,
64.83,接触者,,,,
64.81,家人,,,,
64.72,家人及接触者,,,,
64.71,家人,,,,
64.61,接触者及其家人,,,,
64.44,家人,,,,
64.38,家人,,,,
64.16,接触者,,,,
64.11,家人,,,,
63,新邮政,1,3月27日，位于友诺士路的新邮政中心有三人确诊，成为新的感染群。,,
62,杜佛阁国际学校,1,3月25日，杜佛阁国际学校（Dover Court International School）有三名职员确诊，成为新的感染群。,学校感染群,2020-3-25
61.11,接触者,,,,
61.1,家人,,,,
61,凤山Sparkletots,1,凤山Sparkletots学前教育中心在3月下旬出现至少十多名职员确诊。其中11个是校长（第601起病例）的家人。在新加坡警察部队的协助下，当局发现第566起病例，即中心校长的一名亲人曾在3月4日到过马来西亚，并可能在当地染病。当局相信是这名亲人把病毒传给了家属，包括这位校长。校长则是在与职员开会时，进一步传播病毒。,学校感染群,2020-3-26
60.95,家人,,,,
60.89,家人及其接触者,,,,
60.82,家人,,,,
60.77,家人,,,,
60.7,家人,,,,
60.57,接触者,,,,
60.54,接触者,,,,
60.52,接触者,,,,
60.46,接触者,,,,
60.29,家人及接触者,,,,
60.2,家人,,,,
60.12,接触者,,,,
60.06,接触者,,,,
50.98,家人,,,,
50.84,家人及接触者,,,,
50.82,接触者,,,,
50.68,家人,,,,
50.55,接触者,,,,
50.48,家人,,,,
50.36,接触者,,,,
50.35,接触者,,,,
50.3,接触者,,,,
50.18,接触者及其家人,,,,
50.17,家人,,,,
50.12,家人及接触者,,,,
50.11,家人,,,,
49,武吉知马新加坡教会,1,与裕廊战备军协俱乐部晚宴感染群相关的感染群,,
48.91,接触者,,,,
48.74,家人,,,,
48.73,家人,,,,
48.65,接触者,,,,
48.46,接触者,,,,
48.44,家人,,,,
48.39,家人,,,,
48.32,接触者及其家人,,,,
48.3,接触者及其家人,,,,
48.26,接触者,,,,
48.25,家人,,,,
48.24,家人,,,,
48.23,接触者,,,,
48.18,家人,,,,
48.12,接触者,,,,
48.08,接触者,,,,
48.06,接触者,,,,
48.04,接触者,,,,
48.03,家人,,,,
48.02,家人及旅伴,,,,
48.01,家人,,,,
48.001,家人及接触者,,,,
47.98,接触者,,,,
47.95,接触者,,,,
47.9,家人及接触者,,,,
47.96,接触者,,,,
47.4,接触者,,,,
47.3,接触者,,,,
38,慕达金回教堂,1,3月18日，卫生部将位于宏茂桥的慕达金回教堂（Masjid Al-Muttaqin）列为感染群之一。,,
37.002,家人及接触者,,,,
36.006,家人,,,,
36,攀岩馆boulder+,1,3月11日，卫生部公布三起病例与位于加冷大道Aperia Mall的攀岩馆boulder+有关，该感染群与裕廊战备军协俱乐部晚宴感染群相关。,,
35,接触者,,,,
32,家人,,,,
29,家人,,,,
25,家人,,,,
21.52,家人及接触者,,,,
21.51,接触者,,,,
21.47,家人,,,,
21.46,家人及接触者,,,,
21.45,接触者,,,,
21.43,密切接触,,,,
21.2,家人及接触者,,,,
21.1,家人及接触者,,,,
21,裕廊战备军人协会晚宴,1,与2月15日傍晚在中餐馆美满楼举行的一场私人晚宴有关，餐馆设在裕廊战备军人协会俱乐部内。美满楼是千禧集团属下餐馆，餐馆当晚有两场晚宴，总共600人出席。两场都是歌唱导师的新年团拜活动。,,
20.5,WinTech,,,,
20.1,密切接触,,,,
20,Wizlearn Technologies,1,位于第二科学园的培训公司Wizlearn Technologies有多名职员确诊，成为又一个感染群。,,
19.84,家庭聚会参与者,,,,
19.81,家人,,,,
19.3,密切接触,,,,
19,神召会恩典堂,1,不止一名病例曾去过神召会恩典堂（Grace Assembly of God）位于东陵和武吉巴督的教堂。,,
18.99472,接触者,,,,
18.99461,接触者,,,,
18.99431,家人,,,,
18.99429,家人,,,,
18.99362,家人,,,,
18.993545,家人,,,,
18.99374,家人,,,,
18.99345,家人和接触者,,,,
18.99343,接触者,,,,
18.99325,接触者,,,,
18.99323,家人,,,,
18.99317,家人,,,,
18.99313,家人,,,,
18.9931,家人,,,,
18.99309,家人,,,,
18.99308,家人,,,,
18.9929,家人,,,,
18.9925,接触者,,,,
18.9922,接触者,,,,
18.9915,家人,,,,
18.99097,接触者,,,,
18.99089,接触者,,,,
18.99084,家人,,,,
18.99083,家人,,,,
18.9908,家人,,,,
18.99073,接触者,,,,
18.99072,家人,,,,
18.9906,接触者,,,,
18.99059,家人及接触者,,,,
18.99048,接触者,,,,
18.99047,家人及接触者,,,,
18.99044,接触者,,,,
18.9903,家人,,,,
18.99025,家人,,,,
18.99015,接触者,,,,
18.99006,接触者,,,,
18.99005,接触者,,,,
18.99004,家人,,,,
18.99003,家人,,,,
18.99002,家人,,,,
18.98998,家人,,,,
18.9898,接触者,,,,
18.9897,家人,,,,
18.988,接触者,,,,
18.9872,家人,,,,
18.9867,接触者,,,,
18.9864,家人,,,,
18.9852,接触者,,,,
18.9849,接触者,,,,
18.9837,家人,,,,
18.9834,接触者,,,,
18.9832,家人,,,,
18.9821,接触者,,,,
18.9817,家人,,,,
18.9814,家人,,,,
18.978,家人及接触者,,,,
18.975,接触者,,,,
18.974,接触者,,,,
18.967,家人,,,,
18.965,家人,,,,
18.963,家人,,,,
18.94,接触者及其家人,,,,
18.88,同病房,,,,
18.83,接触者,,,,
18.81,接触者及其家人,,,,
18.8,家人及接触者,,,,
18.5,家人,,,,
18,源头不明,,,,
17,君悦酒店会议,1,有跨国公司的员工在出席本地于君悦酒店举行的会议后，相继在回国后确诊上冠状病毒19，导致世界卫生组织也介入，展开跨国调查。,,
16.2,密切接触,,,,
16,实里达宇航岭工地,1,不止一名孟加拉籍客工确诊，使实里达宇航岭（Seletar Aerospace Heights）工地成为一个社区感染群。,客工感染群,2020-2-12
15.3,家人,,,,
15.2,工作接触,,,,
15.1,家人,,,,
15,永泰行,1,一组来自中国广西的旅游团到位于卡文路的中药行购物，结果职员确诊，也连带把病毒传染给家人，让本地出现首个感染群；带队的导游也确诊。旅游团中，中国当局也确认有人感染冠状病毒19。,,
13.6,接触者,,,,
13,武汉包机返新,,,,
10,旅伴,,,,
7.5,夫妻/家庭聚会参与者,,,,
7.1,夫妻,,,,
7,基督生命堂,1,透过卫生部的追踪调查，发现有好几起病患与基督生命堂有关。,,
3,旅伴,,,,
2,旅伴及接触者,,,,
1,父子,,,,
